Application IDs,560d789a6a42ad5a,DC++ 0.261 / 0.698 / 0.782 (r2402.1)
Application IDs,bcc705f705d8132b,Instan-t 5.2 (Build 2824)
Application IDs,1d12f965b876dc87,Snagit 2021
Application IDs,4700ff5ae80a6713,PDFCreator 2.2
Application IDs,4a49906d074a3ad3,Media Go 1.8 (Build 121)
Application IDs,6824f4a902c78fbd,Firefox 64.0
Application IDs,fe9e0f7260000a12,RealVNC Server 5.3.0 64-bit (Connect+File Transfer)
Application IDs,a2c73c383525f1bb,RealVNC Viewer 5.3.0 64-bit
Application IDs,d3530c5294441522,HydraIRC 0.3.165
Application IDs,b37a182b9a7a8098,SAPIEN.Packager
Application IDs,ee0c103672a7a2b9,ManyCam 6.7.0
Application IDs,a1d19afe5a80f80,FileZilla 2.2.32
Application IDs,fdbd48d45512dffc,Photoshop 7
Application IDs,989d7545c2b2e7b2,IMVU 465.8.0.0
Application IDs,497f749b9f1a5d16,Microsoft.GamingApp
Application IDs,1eb796d87c32eff9,Firefox 5.0
Application IDs,36801066f71b73c5,Binbot 2.0
Application IDs,cfb56c56fa0f0a54,Mozilla 0.9.9
Application IDs,50c5e019818564e3,Microsoft Excel Viewer 12.0.6219.1000
Application IDs,5f218922e0901ebf,MusicBee
Application IDs,9f5c7755804b850a,Windows Script Host - wscript.exe (64-bit)
Application IDs,23709f6439b9f03d,Hex Editor Neo 5.14(CHANGED)
Application IDs,436eb6eb1bd9f03f,Microsoft Visio 15
Application IDs,33a00252c0fa56de,Mozilla Firefox x32
Application IDs,accca100973ef8dc,Azureus 2.0.8.4
Application IDs,d33ecf70f0b74a77,Picasa 2.2.0 (Build 28.08, 0)
Application IDs,a8df13a46d66f6b5,Kommute (Calypso) 0.24
Application IDs,186b5ccada1d986b,NewsGrabber 3.0.36
Application IDs,99c15cf3e6d52b61,mldonkey 3.1.0
Application IDs,fd1ad55e472f20e0,Google Earth Pro 7.3.2.5491
Application IDs,8f4ae1df7d39f816,X-Ways WinHex x64
Application IDs,62dba7fb39bb0adc,Yahoo Messenger 7.5.0.647 / 8.1.0.421 / 9.0.0.2162 / 10.0.0.1270
Application IDs,466d339d8f21cfbf,Microsoft Snip & Sketch
Application IDs,3917dd550d7df9a8,Konvertor 4.06 (Build 10)
Application IDs,8a1c1c7c389a5320,Safari 3.2.3 (525.29)
Application IDs,be4875bb3e0c158f,CrossFTP 1.75a
Application IDs,9e312f4adee9107,Opera Browser
Application IDs,f674c3a77cfe39d0,Winamp 2.95 / 5.1 / 5.621 / 5.666
